run_name,conv_channels,mlp_layers,width,height,mean_random_reward,mean_nearest_reward,mean_learned_reward
decentralized,16-32,2,4,4,0.137,0.395,0.325
decentralized,16-32,2,4,4,0.122,0.414,0.331
decentralized,16-32,2,4,4,0.118,0.403,0.309
